config,category,vs_twap,beat_twap,cost_mean,cost_std,delta_vs_baseline
Baseline (all features),baseline,11.679935991714885,79.33333333333333,21079.075793051215,14240.213175367717,0.0
Remove volatility,feature,12.434236405201647,79.66666666666666,21411.471981026498,13943.226202931008,0.7543004134867619
Remove volume imbalance,feature,9.420654808484452,73.33333333333333,22576.27905595026,14554.07141429296,-2.259281183230433
Remove spread features,feature,11.766263553695408,77.33333333333333,23272.213034577846,14265.499184340491,0.08632756198052327
Remove momentum,feature,11.430854850086684,79.66666666666666,22050.60191448959,14814.963004215058,-0.24908114162820105
Remove time-of-day,feature,10.49276132469362,77.66666666666666,21936.407629493093,14359.32472095233,-1.1871746670212655
Remove cost advantage,feature,11.670248875888843,78.66666666666666,21884.049404774403,13998.415953593225,-0.009687115826041648
Remove volume ratio,feature,11.392143189265328,76.33333333333333,22158.987527772366,14022.747470713806,-0.2877928024495571
Order size: 10 BTC,config,4.6521232473570056,78.33333333333333,802.7980721526052,770.8381869720592,-7.027812744357879
Order size: 100 BTC,config,2.3044272454497423,50.0,64864.833196675514,32320.41853397979,-9.375508746265142
Horizon: 30 bars,config,1.6538439445354522,48.0,31221.788264872033,14285.69113771634,-10.026092047179432
Impact: η=0.5 (vs 0.3),config,20.444601688400684,79.33333333333333,36539.86419872495,24380.320424090933,8.7646656966858
Participation cap: 5%,config,-0.8677268762714372,36.0,7042.796710776125,2910.2330320618735,-12.547662867986322
